"Sample";"NombreFragments";"F%";"M%";"m%";"a%_Glo";"A%_Glo";"v%_Glo";"V%_Glo";"a%_Muc";"A%_Muc";"M%_Glomero_rate";"M%_Mucoro"
"MP_02_T1";"30";"90";"24";"27";"11";"2.8";"5.8";"1.4";"89";"22";"1.6";"23"
"MP_03_T1";"30";"80";"26";"33";"2.6";"0.7";"10";"2.7";"90";"24";"2.1";"24"
"MP_04_T1";"30";"73";"30";"41";"6";"1.8";"12";"3.6";"75";"23";"2.9";"27"
"MP_06_T1";"30";"67";"21";"32";"4.6";"0.98";"7.4";"1.6";"96";"21";"1.7";"20"
"MP_07_T1";"30";"80";"8.4";"10";"12";"1";"4.9";"0.41";"45";"3.8";"3.1";"5.3"
"MP_08_T1";"30";"87";"16";"18";"10";"1.6";"16";"2.6";"87";"14";"1.6";"14"
"MP_09_T1";"30";"43";"6.7";"15";"24";"1.6";"6";"0.4";"93";"6.2";"1";"5.7"
"MP_1_T1";"30";"70";"13";"18";"43";"5.6";"23";"2.9";"91";"12";NA;NA
"MP_10_T1";"30";"83";"18";"22";"12";"2.1";"20";"3.6";"75";"14";"2.4";"16"
"MP_11_T1";"30";"73";"30";"40";"23";"6.8";"21";"6.3";"89";"26";"5.7";"24"
"MP_12_T1";"30";"77";"15";"19";"14";"2";"3.7";"0.54";"83";"12";"1.4";"13"
"MP_13_T1";"30";"80";"30";"38";"18";"5.5";"15";"4.5";"64";"19";"4.5";"26"
"MP_14_T1";"30";"70";"14";"20";"25";"3.6";"3.5";"0.5";"76";"11";"1.7";"12"
"MP_15_T1";"30";"93";"37";"39";"39";"14";"7.9";"2.9";"74";"27";"9";"28"
"MP_16_T1";"30";"63";"14";"23";"50";"7.2";"3.5";"0.5";"47";"6.8";"7.3";"7.1"
"MP_5_T1";"30";"93";"38";"41";"26";"10";"11";"4.2";"81";"31";NA;NA
"T_plantain";"30";"97";"41";"43";"65";"27";"13";"5.5";"0";"0";"41";"0"
